,precision,recall,f1-score,support
Central Serous Chorioretinopathy [Color Fundus],0.8041958041958042,0.9504132231404959,0.8712121212121212,121.0
Diabetic Retinopathy,0.9877862595419847,0.9390420899854862,0.9627976190476191,689.0
Disc Edema,0.9263803680981595,0.9869281045751634,0.9556962025316456,153.0
Glaucoma,0.7325038880248833,0.8177083333333334,0.7727645611156686,576.0
Healthy,0.8719512195121951,0.8018691588785046,0.8354430379746836,535.0
Macular Scar,0.7780373831775701,0.8582474226804123,0.8161764705882353,388.0
Myopia,0.9371584699453552,0.7622222222222222,0.8406862745098039,450.0
Pterygium,1.0,1.0,1.0,20.0
Retinal Detachment,0.9868421052631579,1.0,0.9933774834437086,150.0
Retinitis Pigmentosa,0.893048128342246,1.0,0.943502824858757,167.0
accuracy,0.8698060941828255,0.8698060941828255,0.8698060941828255,0.8698060941828255
macro avg,0.8917903626101354,0.9116430554815619,0.8991656595282244,3249.0
weighted avg,0.8768266952180458,0.8698060941828255,0.8706177427154554,3249.0
