,precision,recall,f1-score,support
Central Serous Chorioretinopathy [Color Fundus],0.8347826086956521,0.7933884297520661,0.8135593220338984,121.0
Diabetic Retinopathy,0.9762611275964391,0.9550072568940493,0.9655172413793104,689.0
Disc Edema,0.9259259259259259,0.9803921568627451,0.9523809523809523,153.0
Glaucoma,0.7582236842105263,0.8003472222222222,0.7787162162162162,576.0
Healthy,0.8598848368522073,0.8373831775700935,0.8484848484848485,535.0
Macular Scar,0.7701149425287356,0.8634020618556701,0.8140947752126367,388.0
Myopia,0.8661616161616161,0.7622222222222222,0.8108747044917257,450.0
Pterygium,1.0,1.0,1.0,20.0
Retinal Detachment,0.9867549668874173,0.9933333333333333,0.9900332225913622,150.0
Retinitis Pigmentosa,0.9401197604790419,0.9401197604790419,0.9401197604790419,167.0
accuracy,0.8670360110803325,0.8670360110803325,0.8670360110803325,0.8670360110803325
macro avg,0.8918229469337563,0.8925595621191444,0.8913781043269994,3249.0
weighted avg,0.8697091656081781,0.8670360110803325,0.8673880119000156,3249.0
